I0,PA500,HFS,DA,Area,A/DA,Max_IP,DR,P,class
524.7940719572,0.1874483617,0.0321140582,228.8002278843,6843.5984811891,29.910802731599997,60.204879760699995,220.7372120052,556.828334181,car
330.0,0.22689280280000002,0.26529004629999997,121.1542006708,3163.2394719946,26.1092017815,69.7173614502,99.0849640003,400.2257759827,car
551.8792873985,0.23247785640000002,0.06352998480000001,264.80493543,11888.3918269139,44.8949027616,77.793296814,253.7852997781,656.7694494025,car
380.0,0.2408554368,0.2862339973,137.6401108553,5402.1711804018,39.2485238993,88.7584457397,105.19856804770001,493.7018135024,car
362.83126591,0.200712864,0.2443460953,124.9125593692,3290.4624462765996,26.3421265475,69.3893890381,103.86655188190001,424.7965033868,car
389.8729777095,0.1500983157,0.0977384381,118.62581427059999,2475.5570776229997,20.8686203154,49.757148742700004,107.6861641614,429.3857878604,car
290.4551411532,0.14416419619999998,0.0530580093,74.6350666441,1189.5452129019,15.938154360799999,35.7033309937,65.5413244609,330.2672928957,car
275.6773933601,0.15393804,0.1877974275,91.52789333930001,1756.2348373882999,19.187973996900002,39.3051834106,82.6586821528,331.5883016673,car
470.0,0.2131047017,0.2254965394,184.5900565767,8185.3608372261,44.343454837299994,84.4824829102,164.1225107308,603.3157150786,car
423.0,0.21956241989999997,0.2617993878,172.37124102299998,6108.1062965247,35.4357621392,79.056350708,153.1729028745,558.274515328,car
410.0,0.3178244568,0.2974041045,255.81517907650002,10622.5471101291,41.524303399299995,67.5232086182,246.74282554380002,508.54035601690003,car
500.0,0.2272418686,0.0509636142,219.29550228029998,9819.4496142339,44.77725038649999,76.8684997559,207.26664042040002,602.5278406267,car
438.7801572296,0.21240657,0.060737458,120.9015964126,4879.4955758694,40.3592319759,80.79177856449999,89.9437864191,525.4201494351,car
366.9423790985,0.28012534489999996,0.252025544,172.74555373869998,7064.815909055699,40.8972373306,75.6043243408,155.3222849252,471.5881953798,car
485.6688054544,0.23020892829999998,0.1340412866,253.8936986073,8135.968359074001,32.044782535799996,64.8554458618,245.4705306437,541.363975057,car
390.0,0.3583160954,0.2038544566,245.6861030662,10055.83687254,40.929612001,70.3247833252,236.4901696665,477.5483599605,car
269.4959462918,0.20751964809999998,0.038397243500000004,80.4110854818,1963.6052480989001,24.4195838961,44.740154266400005,66.8383093174,329.0906470766,car
300.0,0.1900663555,0.16685347650000001,97.1081295111,3039.5613030204,31.300791378899998,51.3539733887,82.4181920286,387.07822753989996,car
325.0,0.22462387469999998,0.286932129,229.2158633923,5705.3320895085,24.8906511315,35.602714538600004,227.26479373950002,462.7030069339,car
294.4748456196,0.2066469834,0.46774823950000005,194.8710353479,5541.256126251899,28.4355041084,36.765796661399996,191.8048904696,445.51329936620004,car
500.0,0.1926843494,0.1947787445,144.6885779146,3055.0129631204,21.114403135,96.56336975100001,107.751102979,542.8970888919999,car
211.0,0.0539306739,0.09424777960000001,30.753443458299998,151.9845775553,4.9420344672,14.268374443099999,27.24312366,217.1307040276,fad
196.85671417900002,0.0200712864,0.09075712109999999,28.593126134699997,82.0588885292,2.8698816682,7.9687833786,27.6615159531,200.7493364347,fad
245.0,0.18901915800000002,0.08168140900000001,62.9029550923,1235.9833558899002,19.6490507334,42.152015686,46.690355427200004,292.3762384463,fad
352.6564467782,0.1219985147,0.09075712109999999,68.5278463867,1066.1578463393,15.558023527000001,43.6919250488,52.792816670200004,382.7331865355,fad
243.2939757359,0.0399680399,0.0670206433,68.5447777184,383.92845304260004,5.6011335338,9.9913482666,67.8166557187,263.640761308,fad
259.8851450408,0.07068583469999999,0.006981317,58.243807276000005,465.0872650386,7.9851796575,17.5068378448,56.340240790299994,267.5174460284,fad
250.0,0.0680678408,-0.0153588974,57.17243116229999,652.9013493691,11.4198633169,17.7769813538,55.79126957,278.3086151587,fad
200.0,0.037699111800000004,0.11728612570000001,42.3166752875,220.81090664599998,5.2180589601,10.675764083899999,40.9478822685,218.0343130907,fad
355.0,0.0640535835,0.0844739358,89.55846345469999,1033.8542450686,11.543903336300001,27.5626621246,86.5765610935,372.0399565985,fad
272.0,0.0914552528,0.0048869219,63.7893803122,718.946310198,11.270626970799999,20.0855560303,60.6907291188,286.920220324,fad
341.6200131082,0.09197885160000001,0.0740019603,85.04302855579999,1370.8380678239,16.119346771900002,29.028968811,79.935196807,385.13345984230006,fad
