Dataset,KDEBN_Validation_10_0,KDEBN_Validation_10_5
Balance,-3869.8236542164595,-3869.8236542164595
Block,-1442601.356437612,-1542126.9573265808
Breast_cancer,-9194.314236715983,-9203.51809802031
Breast_tissue,-6226.591677468763,-5969.41918661527
CPU,-10263.131645897032,-10015.162096632635
Cardiotocography,-18419.17504715525,-16488.566702296375
Ecoli,2036.3267124953288,2059.004177870812
Glass,118.89012622790528,397.99296834090853
Ionosphere,-784.397760334784,-778.0528791259784
Iris,-314.3380912241905,-309.57183818271153
Liver,-7579.013796280247,-7573.507813728942
Magic_Gamma,-504521.1125072654,-504521.1125072654
Parkinsons,9009.776996711318,9933.998039916763
QSAR Aquatic,-10444.906670513861,-9652.465794724862
QSAR fish toxicity,-3988.7661308946936,-3940.9803923517043
Sensor_reading,-70822.51500194178,-70350.5539855859
Sonar,18123.67859450827,19453.42946514192
Spambase,-7429.998863140836,-8420.13704285988
Vehicle,-41761.69842988098,-39865.250725249054
Vowel,-4070.847650400148,-4059.1427692812676
Waveform-Noise,-299398.50897447777,-299020.31214685127
Waveform,-164899.87646400367,-164636.9204680388
Wdbc,12648.382270092847,14036.733257772265
Wine,-3391.2444298207547,-3333.2200999362894
WineQuality-Red,-2103.4439456832292,-1023.9065972020644
WineQuality-White,-11247.188266031642,-6554.143742345419
Wpbc,821.2890967306864,2581.954946402828
Yeast,19095.735491099556,19130.082771061196
