Dataset,SPBN_Validation_10_0,SPBN_Validation_10_5
Balance,-3869.8236542164595,-3869.8236542164595
Block,-1539637.735177242,-1535630.2425636477
Breast_cancer,-9207.91325617359,-9217.117117477916
Breast_tissue,-6120.273630947924,-6356.816100059171
CPU,-10350.432593893927,-10197.32173288625
Cardiotocography,-18050.307128539742,-16451.790918190003
Ecoli,1979.8441924254591,2026.493158624161
Glass,62.82314924094774,323.9318838162273
Ionosphere,-3856.2863723444693,-1010.9297159255563
Iris,-331.59630900894933,-319.6910688389557
Liver,-7601.079166160316,-7502.836151302199
Magic_Gamma,-504582.6650799788,-504538.82580929395
Parkinsons,9069.538310815298,9863.660311957614
QSAR Aquatic,-10494.236586538824,-10335.457549711928
QSAR fish toxicity,-4030.7106583181167,-3884.598580208729
Sensor_reading,-70327.33767251571,-69956.90779650562
Sonar,18766.556963659415,19331.58796567354
Spambase,-155939.9824462759,-128021.85281601702
Vehicle,-42627.15946605868,-39681.50390785375
Vowel,-4224.905984684846,-4093.1748614711732
Waveform-Noise,-297584.1944377551,-296770.5831880405
Waveform,-163203.3820657922,-162431.81374794373
Wdbc,12446.463315092284,14737.818222268546
Wine,-3575.5455340592925,-3340.8538627060516
WineQuality-Red,-1854.1605525455332,-1022.8085652237553
WineQuality-White,-16070.801010627472,-10050.065548826524
Wpbc,1655.7862989738303,2790.7958863785884
Yeast,19051.81087476428,19122.411784928085
