Dataset,SPBN_CKDE_Validation_10_0,SPBN_CKDE_Validation_10_5
Balance,-3869.8236542164595,-3869.8236542164595
Block,-1442601.356437612,-1546194.09114239
Breast_cancer,-9194.314236715983,-9203.51809802031
Breast_tissue,-6318.7468993568355,-6079.329548604381
CPU,-10263.131645897032,-10015.162096632635
Cardiotocography,-18419.17504715525,-16488.56670229637
Ecoli,2036.3267124953288,2059.004177870812
Glass,98.99599485565795,264.77162547449177
Ionosphere,-784.397760334784,-778.0528791259785
Iris,-314.3380912241905,-307.1747026685849
Liver,-7566.301620091278,-7531.568008180902
Magic_Gamma,-504521.1125072654,-504521.1125072654
Parkinsons,9009.776996711318,9933.998039916763
QSAR Aquatic,-10444.906670513861,-9703.517359937952
QSAR fish toxicity,-3988.7661308946936,-3940.9803923517043
Sensor_reading,-70822.51500194178,-70350.55398558591
Sonar,17830.079866186345,19469.040001545396
Spambase,-7429.998863140836,-12204.388831367736
Vehicle,-41761.69842988098,-39865.250725249054
Vowel,-4070.847650400148,-4059.1427692812676
Waveform-Noise,-299286.85718253086,-297424.1332033788
Waveform,-164610.92133316858,-162816.5981754509
Wdbc,12067.12660131482,14191.687377757013
Wine,-3391.2444298207547,-3334.373490719957
WineQuality-Red,-2103.4439456832297,-1023.9065972020642
WineQuality-White,-17175.080065889055,-11001.92674824779
Wpbc,859.7146985115551,2497.0941580836143
Yeast,19095.735491099556,19131.5216212046
