Dataset,GBN_PC_LC,GBN_PC_RCOT
Balance,-4419.397928401677,-4419.397928401677
Block,-347314.9219691289,-342134.6997912993
Breast_cancer,-12855.450498835904,-13240.875101201758
Breast_tissue,-5129.058995160143,-5316.414290390527
CPU,-10680.973515282407,-10908.748694105796
Cardiotocography,-46203.000018351704,-47848.29428714191
Ecoli,1137.8879849148627,1104.3876131548345
Glass,-497.6757956914492,-534.5758656842224
Ionosphere,-7063.982253693517,-8016.786219866462
Iris,-404.7534371674829,-436.21221417735705
Liver,-7769.748652035181,-7775.288505033911
Magic_Gamma,-599242.6326621649,-597306.2236583651
Parkinsons,7572.269844648743,7241.390408300398
QSAR Aquatic,-10362.906890109927,-10612.43216715572
QSAR fish toxicity,-6435.592145653563,-6431.207490260875
Sensor_reading,-195851.17203738922,-197375.34034135143
Sonar,19326.94137219594,18790.589952391503
Spambase,-247711.10497365438,-252883.80615377473
Vehicle,-49419.62325379299,-49715.232989564625
Vowel,-8795.608235800568,-8752.43430567769
Waveform-Noise,-299113.0230732616,-299791.6823915655
Waveform,-164664.7660585645,-165263.04969526207
Wdbc,9900.582818914789,7646.202098341714
Wine,-3565.2215211624666,-3701.549220871072
WineQuality-Red,-8454.930044620836,-8464.312675409681
WineQuality-White,-23963.326884093232,-24302.859648696154
Wpbc,1349.5233336257254,1007.3127017961335
Yeast,11888.713634831232,11869.415280317746
