Dataset,KDEBN_PC_LC,KDEBN_PC_RCOT
Balance,-3869.8236542164586,-3869.8236542164586
Block,-878119.6765918289,-986015.2810813508
Breast_cancer,-10196.49292253336,-9891.174197610906
Breast_tissue,-6006.6682295407445,-6235.487766403288
CPU,-9944.45083423791,-10109.728678818912
Cardiotocography,-25079.060858819124,-25497.64883911542
Ecoli,1970.0607863642667,1980.602256636536
Glass,168.71531415805777,209.98990933992275
Ionosphere,-2497.019983536217,-3185.1618549102077
Iris,-354.7576441993728,-337.3787520049554
Liver,-7560.00747291703,-7509.197094890933
Magic_Gamma,-521790.10820182506,-513222.18899266043
Parkinsons,8698.203225156518,8377.86414483016
QSAR Aquatic,-9622.87606433983,-9777.26523392851
QSAR fish toxicity,-4617.67465042236,-4217.332145396018
Sensor_reading,-85883.55712043066,-86907.36429566785
Sonar,19719.92145554705,19466.977390156517
Spambase,-9096.713572475594,-19568.016774458123
Vehicle,-46174.91871246898,-45467.501966030344
Vowel,-7465.889996589523,-7176.59706208424
Waveform-Noise,-302279.1273381156,-301114.5932337724
Waveform,-167515.1208202299,-166599.42926154123
Wdbc,12395.949512350855,10464.682737690118
Wine,-3418.4628134264135,-3527.9687378945164
WineQuality-Red,-3445.1738452780255,-3173.545465992565
WineQuality-White,-14288.613786637514,-13318.426049458281
Wpbc,1698.1018298274898,1569.2283423846297
Yeast,18946.006166166786,18867.977270439547
