Dataset,SPBN_PC_LC_10_0,SPBN_PC_LC_10_5,SPBN_PC_RCOT_10_0,SPBN_PC_RCOT_10_5
Balance,-3869.8236542164595,-3869.8236542164595,-3869.8236542164595,-3869.8236542164595
Block,-898235.4318552518,-896385.0336718188,-997507.2828567773,-994391.9791841339
Breast_cancer,-10201.403386009879,-10201.403386009879,-9891.174197610906,-9891.174197610906
Breast_tissue,-5049.98033514272,-6042.14409835698,-5163.789410043102,-6160.753065043014
CPU,-10115.105533768921,-10092.969346994922,-10383.102697070051,-10330.00592828833
Cardiotocography,-25104.23951550315,-25104.23951550315,-25511.910363069488,-25511.910363069488
Ecoli,1962.7514661616826,1962.7514661616826,1961.4484496605246,1975.4048026408364
Glass,-108.28509888359244,-68.23881100328711,-12.008490700629167,46.657908313595826
Ionosphere,-3265.1702118767935,-2582.653258988293,-3406.5885264399067,-3185.1618549102077
Iris,-380.0716432061754,-358.5058678794585,-336.7958208302161,-336.7958208302161
Liver,-7593.883772580543,-7589.267404936529,-7528.859012684801,-7528.859012684801
Magic_Gamma,-521790.10820182506,-521790.10820182506,-513222.18899266043,-513222.18899266043
Parkinsons,8602.588812657126,8612.194046489623,8173.035504141564,8294.8712447963
QSAR Aquatic,-10301.107530267802,-10283.813994133738,-10506.034277429244,-10506.034277429244
QSAR fish toxicity,-4674.520399759263,-4614.416990763129,-4245.602875331322,-4229.784945797753
Sensor_reading,-85883.55712043066,-85883.55712043066,-86907.36429566785,-86907.36429566785
Sonar,19480.0626380694,19597.28931414777,18931.44070376617,19226.96523738465
Spambase,-167853.09050069837,-106568.03012390745,-173188.04466290204,-111937.57077095362
Vehicle,-46184.79450799272,-46182.18583688606,-45475.75177752539,-45475.75177752539
Vowel,-7467.60645131899,-7467.60645131899,-7179.731544225431,-7177.984082240225
Waveform-Noise,-298539.23621452675,-298539.23621452675,-299207.40995430795,-299175.22008909413
Waveform,-164100.8245405875,-164100.8245405875,-164757.88471666948,-164730.6550003928
Wdbc,11302.022403722263,11648.990759826895,9039.862003265946,9686.079966023402
Wine,-3461.5872390991926,-3432.5212392405692,-3556.7477854951057,-3539.531014996104
WineQuality-Red,-3730.0953334570936,-3503.971256011382,-3187.181806261486,-3187.181806261486
WineQuality-White,-16146.85120436035,-16146.85120436035,-15160.116042256353,-14925.322274191853
Wpbc,1544.5536504397958,1715.661464931417,1234.2767794564816,1470.4250977955332
Yeast,18924.5793469573,18924.5793469573,18805.609424531925,18813.624814220184
