Dataset,CKDE_Validation_2_0,CKDE_Validation_2_5,CKDE_Validation_3_0,CKDE_Validation_3_5,CKDE_Validation_5_0,CKDE_Validation_5_5,CKDE_Validation_10_0,CKDE_Validation_10_5,Gaussian_Validation_2_0,Gaussian_Validation_2_5,Gaussian_Validation_3_0,Gaussian_Validation_3_5,Gaussian_Validation_5_0,Gaussian_Validation_5_5,Gaussian_Validation_10_0,Gaussian_Validation_10_5,BIC,BGe
Balance,-3869.823654216457,-3869.823654216457,-3869.823654216457,-3869.823654216457,-3869.823654216457,-3869.823654216457,-3869.823654216457,-3869.823654216457,-4420.8761305862245,-4420.8761305862245,-4419.62180488489,-4419.62180488489,-4419.397928401677,-4419.397928401677,-4419.397928401677,-4419.397928401677,-4419.397928401677,-4419.397928401677
Block,-1440137.7755185391,-1531993.9412653898,-1530678.034242903,-1018290.2277032709,-1528601.1753506628,-1526206.0440866943,-1551911.2403701188,-967130.7791917727,-353379.7858085534,-353389.11579516536,-351501.14265540394,-352076.00313808705,-352476.77324937796,-353929.438717304,-351943.05917049263,-353000.08942693897,-353161.3835892668,-352119.2601505142
Breast_cancer,-9211.578145092912,-9209.26785431062,-9188.70629023934,-9186.865656353028,-9194.130648927738,-9185.097421327231,-9195.416629050715,-9190.144083207415,-12665.199756166068,-12586.595860441934,-12657.490981440045,-12594.554117387082,-12652.850985767485,-12598.556698618038,-12654.13107418174,-12626.088454124083,-12581.960507753833,-12593.131108434776
Breast_tissue,-4936.827097193573,-5556.658263512349,-5666.782961501669,-5547.324208613368,-6257.981839596231,-5964.2040384960565,-5114.096447923497,-6360.183325693573,-5046.7864271392655,-4942.171276166583,-5243.531613734667,-5057.047780755616,-5414.126745886897,-5276.675309811052,-5244.357278293645,-5157.3147206043395,-5143.745049809103,-5081.613389699918
CPU,-10089.638660988929,-10040.894188737484,-10230.505395979695,-10062.393546144425,-10272.52525075486,-10081.609835563953,-10031.67562754942,-10012.708391184273,-10727.535988639831,-10710.402085703001,-10721.770082642643,-10720.097844982272,-10737.719603615766,-10700.446729892434,-10762.101702614571,-10739.839089213892,-10650.258224525984,-10650.630373629578
Cardiotocography,-17657.10474389868,-17030.44808798411,-17483.075003472513,-16824.89328293944,-17162.693842565724,-16523.13192120411,-16875.537863269135,-16498.239971327337,-44045.96604507413,-42996.652813075125,-44019.38123270593,-42976.24242191712,-43994.680547171105,-43008.89609935336,-43965.230805294515,-43020.76655095322,-42889.98469086361,-44709.91004212121
Ecoli,1142.0808485204614,1169.2846961688158,1144.1266408359438,1158.4428029954797,1169.4368395166966,1186.530241779273,1160.6065404224114,1188.9279127310547,812.1564716472355,820.7094749597815,807.0187400999196,819.3465848087246,815.5500266999564,830.0345160403049,812.2168649734108,827.1431415105849,829.5471420960489,833.5078178602295
Glass,-202.25554816777648,160.26744066337795,-195.9315630978926,277.5758896817744,-115.87637559605645,396.3794831015409,-91.59580260977481,442.75826778833175,-571.9256865951596,-123.83169864598608,-581.1390168154849,-107.34524339237305,-552.6310742905806,-195.5150951897584,-539.8648836682341,-131.77480898396138,92.44626507546958,-125.5676964078148
Haberman,-2807.317279868373,-2807.317279868373,-2807.317279868373,-2807.317279868373,-2807.317279868373,-2807.317279868373,-2807.317279868373,-2807.317279868373,-3004.9265128085185,-3004.9265128085185,-3005.4961320704238,-3005.4961320704238,-3004.9265128085185,-3004.9265128085185,-3004.9265128085185,-3004.9265128085185,-3004.9265128085185,-3004.9265128085185
Ionosphere,-1816.4003398818886,-1393.792156264002,-1251.002816782478,-1364.0972153880987,-1233.4261464338997,-1230.4620440078581,-1065.0082080358661,-1075.1514648271009,-7463.293949866386,-7158.423449684933,-7547.211409989513,-7273.737296999682,-7553.008765106378,-7202.35051506477,-7487.3495241472,-7182.759718649819,-7070.325573913938,-7070.880891249878
Iris,-322.56279970309794,-319.9869602385569,-322.0479781066743,-318.496670480312,-322.0892199111891,-315.7363485049985,-325.45250194168335,-321.09926445801534,-398.2584152474064,-395.8218161936541,-397.537021366386,-395.86132390858387,-394.7201673086837,-392.496699225519,-396.92326049662665,-395.05744693053816,-396.41402444098605,-393.21186203810436
Liver,-7549.362140372221,-7505.132369230531,-7539.401136027897,-7501.776076139244,-7548.743231849074,-7508.018678950175,-7535.435218307486,-7494.87640692459,-7797.8263960489185,-7800.45339381737,-7789.490938399725,-7791.3754716061285,-7786.534750412605,-7786.097401512237,-7782.763277860658,-7782.763277860658,-7778.03736103607,-7775.265808350884
Magic_Gamma,-503876.60673821485,-503876.60673821485,-503931.76547808514,-503870.41708080814,-504129.9320825871,-504055.6928400171,-504134.7690340802,-504075.7001295974,-595962.600146203,-595825.975190339,-596086.3672648503,-595898.6846065754,-595951.9511171922,-595878.657388093,-595873.1625518303,-595841.4286626604,-595819.2218354081,-595850.8190577499
Parkinsons,9482.588933070272,9920.77989683419,9531.658358656236,9953.386204591774,9547.758251681355,9985.232805413534,9547.166166527362,9998.79497178427,8659.29089873359,8781.16870334581,8725.843324716197,8839.254646302752,8700.315233435682,8814.998594592224,8686.397017978485,8832.24065458453,8863.363835191727,8820.797363890233
